Möte,Dagordningspunkt,Brödtext,Förslagställare,Kommun,Organisation(er),Tid,Vem-taggar,Alla taggar,Rankning,Antal röstande
Planera Almedalen,Fokusområde 1: Digital kompetens för alla i skolväsendet,Vilka är de mest påtagliga hindren för en framgångsrik och likvärdig utveckling av digital kompetens hos skolledare?,Hanna Forsberg,Danderyds kommun,,2018-06-13 19:59,,hanna-forsberg-4,,
Planera Almedalen,Fokusområde 2: Likvärdig tillgång och användning,Vilka trösklar finns för att komma igång med användningen av digitala verktyg och digitala lärresurser?,Tilsith Lacouture,Stockholms kommun,Branschorganisation Ideell organisation,2018-06-15 13:00,,lacouture-3,,
Planera Almedalen,Fokusområde 2: Likvärdig tillgång och användning,Vad är den största drivkraften för att digitalisering ska användas för att underlätta undervisning?,Tilsith Lacouture,Stockholms kommun,Branschorganisation Ideell organisation,2018-06-15 12:59,,lacouture-1,,
Planera Almedalen,Fokusområde 2: Likvärdig tillgång och användning,Vad krävs för en jämn och ändamålsenlig teknisk och pedagogisk support i verksamheten?,Tilsith Lacouture,Stockholms kommun,Branschorganisation Ideell organisation,2018-06-15 13:01,,lacouture-4,,
Planera Almedalen,Fokusområde 2: Likvärdig tillgång och användning,Vad är särskilt viktigt för att åstadkomma en likvärdig tillgång och användning av digitalisering för din skolform?,Tilsith Lacouture,Stockholms kommun,Branschorganisation Ideell organisation,2018-06-15 13:01,,lacouture-5,,
Planera Almedalen,Fokusområde 2: Likvärdig tillgång och användning,Hur kan det säkerställas att barnen har tillgång till digitala verktyg oavsett förutsättningar?,Tilsith Lacouture,Stockholms kommun,Branschorganisation Ideell organisation,2018-06-15 13:00,,lacouture-2,,
Planera Almedalen,Fokusområde 3: Forskning och uppföljning kring digitaliseringens möjligheter,Hur kan forskningen om digitalisering nå ut till lärare?,Pernilla Nilsson,,,2018-06-12 08:46,,pernilla-nilsson-4,,
Planera Almedalen,Fokusområde 3: Forskning och uppföljning kring digitaliseringens möjligheter,Vad krävs för att lärare och annan personal inom skolväsendet ska kunna forska på deltid?,Pernilla Nilsson,,,2018-06-12 08:46,,pernilla-nilsson-3,,
Planera Almedalen,Fokusområde 3: Forskning och uppföljning kring digitaliseringens möjligheter,Hur bör forskningssatsningar utformas för att lärare och skolledare ska kunna delta i forskningen/forskarskolor?,Pernilla Nilsson,,,2018-06-12 08:49,,pernilla-nilsson-5,,
Planera Almedalen,Fokusområde 3: Forskning och uppföljning kring digitaliseringens möjligheter,Vilken typ av forskning om skolans digitalisering behöver svensk skola?,Pernilla Nilsson,,,2018-06-12 09:00,,pernilla-nilsson-6,,
Planera Almedalen,Fokusområde 3: Forskning och uppföljning kring digitaliseringens möjligheter,föreslår att Regeringen avsätter 100 miljoner till forskning,Pernilla Nilsson,,,2018-06-26 09:21,,pernilla-nilsson-7,,
Planera Almedalen,Fokusområde 3: Forskning och uppföljning kring digitaliseringens möjligheter,Hur använder lärare forskning om digitalisering?,Pernilla Nilsson,,,2018-06-12 08:45,,pernilla-nilsson-1,,
Planera Almedalen,Fokusområde 3: Forskning och uppföljning kring digitaliseringens möjligheter,Vad inom svensk skola behöver följas upp avseende digitalisering?,Pernilla Nilsson,,,2018-06-12 08:46,,pernilla-nilsson-2,,
Planera Almedalen,Övriga punkter att processa,Process - hur ska vi hämta in feedback och respons?,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-06-11 19:19,,robin-3,,
Planera Almedalen,Övriga punkter att processa,Utopisk beskrivning - vad är bästa möjliga läge för digitalisering i skolan?,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-06-11 19:18,,robin-1,,
Planera Almedalen,Övriga punkter att processa,Hur ska vi säkerställa att vi får ett underlag som representerar gruppen vi frågar?,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-06-12 09:04,,robin-6,,
Planera Almedalen,Övriga punkter att processa,Lågt hängande frukter - vilka saker kan vi göra snabbt med små medel?,Robin Harms Oredsson,Stockholms kommun,Ideell organisation,2018-06-11 19:19,,robin-2,,
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,"föreslår att varje skola har möjlighet att utbilda en superuser, dvs en utbildning till IKT-pedagog.",Linda Ekstrand,Sollentuna kommun,,2018-07-01 21:34,,linda-ekstrand-1,8/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,"föreslår att stort fokus läggs på skolledarnas förmåga och intresse av att driva dessa processer. VI behöver stödja deras kompetens i området, kanske mest kring hur de kan bygga en organisations som främjar utvecklingen.",Ulrika Munkby,Göteborgs kommun,,2018-07-02 10:30,,ulrika-munkby-1,1/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,"föreslår ett krav på en specifikation av vad ett klassrummet minimalt måste ha för att kunna använda digitala verktyg. Exempelvis: 
* det ska finns en dator per elev,
* varje dator ska fungera med tillgång till ström och wi-fi,
* eleverna ska kunna logga in och
* det ska finnas tillgång till ett minimumutbud av digitala verktyg och läromedel.",Grupp Helge And,Gotlands kommun,,2018-07-02 10:53,,grupp-helge-and-3,6/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,föreslår ett krav på att det ska finnas tillgång till support för att använda digitala verktyg. Teknikstrul dödar motivationen.,Grupp Helge And,Gotlands kommun,,2018-07-02 10:58,,grupp-helge-and-4,3/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,föreslår omfördelning av budget för att ge en större plats för digitala läromedel som är av högre kvalitet än analoga läromedel.,Grupp Helge And,Gotlands kommun,,2018-07-02 11:01,,grupp-helge-and-5,10/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,föreslår att börja mäta och följa upp hur likvärdig användningen av digitala verktyg är för att kunna stödja de som ligger efter. Detta kräver gemensamma standards.,Grupp Helge And,Gotlands kommun,,2018-07-02 11:04,,grupp-helge-and-6,7/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,"Vad är likvärdig tillgång? Definiera mål och följa upp.

Likvärdig digital kompetens en vilken faktor att koppla till.",Grupp S:t Olof,Gotlands kommun,,2018-07-02 11:08,,grupp-st-olof-2,,
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,"föreslår att definiera vad betyder användning och vad är en minimum att alla måste uppnå med indikatorer. Sen kan man mäta hur alla aktörer (föräldrar, elever, lärare) använder digitala verktyg, vilka man måste inspirera sig ifrån och vilka måste få extra fokus.",Grupp S:t Clemens,Gotlands kommun,,2018-07-02 11:17,,grupp-st-clemens-1,9/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,föreslår att en tydlig checklista tas fram över vilken digital kompetens en lärare behöver samt krav på uppföljning genom tex ett verktyg som LIKA-för lärare.,Jenny Christiansson,Kalmar kommun,,2018-07-03 15:52,,jennychristiansson-3,4/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,"föreslår att visa krav sätts upp kring hur ett digitalt ekosystem i skolan skall se ut utifrån ett elevperspektiv så att det det blir lättnavigerat och lättanvänt. Även att en minstanivå kring tillgång till digitala läromedel, verktyg och hjälpmedel sätts upp.",Jenny Christiansson,Kalmar kommun,,2018-07-03 16:08,,jennychristiansson-4,,
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,"föreslår att visa krav sätts upp kring hur ett digitalt ekosystem i skolan skall se ut utifrån ett elevperspektiv så att det blir lättnavigerat och lättanvänt. Även att en minsta nivå kring tillgång till digitala läromedel, verktyg och hjälpmedel sätts upp.",Jenny Christiansson,Kalmar kommun,,2018-07-03 16:10,,jennychristiansson-5,5/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att säkerställa en likvärdig användning av digitala verktyg i skolan?,föreslår Att samtliga kommuner ges likvärdiga förutsättningar gällande digital infrastruktur och hårdvara. Detta kommer inte lösa sig av sig själv utan det finns ett statligt ansvar.,Daniel Broman,Lidingö kommun,,2018-07-01 16:01,,danielbroman-1,2/10,38/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att universiteten finns på plats lokalt.,Daniel Broman,Lidingö kommun,,2018-07-02 10:38,,danielbroman-3,16/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att forskningen blir sökbar förståbar.,Daniel Broman,Lidingö kommun,,2018-07-02 10:39,,danielbroman-4,12/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att forskningens återkoppling och resultat byggs utifrån UDL,Daniel Broman,Lidingö kommun,,2018-07-02 10:39,,danielbroman-5,21/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att alla kommuner har en koppling till en högskola och forskare.,Daniel Broman,Lidingö kommun,,2018-07-02 10:40,,danielbroman-6,3/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att skolverket tar ett större ansvar och pekar urbenad tydlig riktning. SKL är bra men frivilligt. Standarder måste definieras och kan inte vara valbara. Ex standard för digitala prov,Daniel Broman,Lidingö kommun,,2018-07-02 10:42,,danielbroman-7,2/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,"Lärosätena närmare praktiken, kortare ledtider. 
Korta videokurser- uppdrag till SKL. ( Jmfr gjordes inför GDPR.)

Skolverket tydligt visa vilken väg. Vissa standarder tex.
Vi har lagar m.m. anpassade för ett samhällssystem som är  i stark förändring måste synkas.",Grupp S:t Olof,Gotlands kommun,,2018-07-02 10:48,,grupp-st-olof-1,,
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Akademien bli bättre på att avrapportera forskning (även under pågående forskning),Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:03,,grupp-st-goran-1,18/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Mer klassrumsnära forskning / pedagoglära,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:04,,grupp-st-goran-2,7/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Tydliggör syfte - varför gör vi det vi gör?,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:04,,grupp-st-goran-3,22/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Tydliggöra vilka som är det viktigaste frågorna. Vad är relevant forskning?,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:04,,grupp-st-goran-4,17/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Ledarna skapar bra förutsättningar för det lokala arbetet,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:04,,grupp-st-goran-5,19/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Skapa god tillgänglighet till material / resultat,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:04,,grupp-st-goran-6,14/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Lärarutbildningen ska förbereda studenterna för ett forskningsbaserat arbetssätt,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:04,,grupp-st-goran-7,6/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Uppmana lärosätena att skapa projekt,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:05,,grupp-st-goran-8,20/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Gemensam sajt för redovisning av aktuell forskning. Koncentrerad framställning av materialet,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:05,,grupp-st-goran-9,5/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,Förtydligat uppdrag för lärarutbildningen när det gäller digitaliseringen,Grupp S:t Göran,Gotlands kommun,,2018-07-02 17:05,,grupp-st-goran-10,1/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att en tjänst liknande Ineras “Eira” utvecklas som gör internationella forskningsresultat tillgängliga för personal i skolan på samma sätt som Eira är tillgängligt för personal inom vården.,Jenny Christiansson,Kalmar kommun,,2018-07-03 15:29,,jennychristiansson-1,11/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att Skolverket och Skolforskningsinstitutet fortsätter att utveckla sin verksamhet och gör forskning lättillgänglig för personal inom skolväsendet. Här är kopplingen till det klassrumsnära viktigt!,Jenny Christiansson,Kalmar kommun,,2018-07-03 15:34,,jennychristiansson-2,4/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,"föreslår att ta fram digitala handfasta forskningsråd
forskningsanslag för praktiknära forskning",Grupp S:t Trinitatis,Gotlands kommun,,2018-07-04 13:14,,grupp-st-trinitatis-3,10/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att skolor öppnar dörren för forskning - är ett organisationsansvar,Grupp S:t Trinitatis,Gotlands kommun,,2018-07-04 13:15,,grupp-st-trinitatis-4,13/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att forskningsområden leder till råd till lärare,Grupp S:t Trinitatis,Gotlands kommun,,2018-07-04 13:15,,grupp-st-trinitatis-5,15/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att få spridning tidigare för medarbetare vad som sker i forskningen,Grupp S:t Trinitatis,Gotlands kommun,,2018-07-04 13:15,,grupp-st-trinitatis-6,23/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,"föreslår att andelen forskarutbildade lärare ökar. Med 1% som rimligt riktvärde kan de flesta skolområden ha en direktkontakt med akademin, och inte minst lika viktigt, även åt andra hållet. En bro mellan verksamheterna som gynnar båda parter.",Ingela Bursjöö,Göteborgs kommun,,2018-07-05 09:36,,ingela-bursjoo-3,9/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,föreslår att den kan presenteras på ett komprimerat och lättillgänglig sätt som lockar mer än det avskräcker. Här behöver också fördelarna tydligt lyftas fram.,Daniel Broman,Lidingö kommun,,2018-07-01 16:24,,danielbroman-2,8/23,34/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolan?,"föreslår 
Att ta fram digitala handfasta forskningsråd
forskningsanslag för praktiknära forskning
Att skolor öppnar dörren för forskning - är ett organisationsansvar
Att forskningsområden leder till råd till lärare
Att få spridning tidigare för medarbetare vad som sker i forskningen",Grupp S:t Trinitatis,Gotlands kommun,,2018-07-02 11:09,,grupp-st-trinitatis-2,,
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Hur kan forskningen bäst stödja digitaliseringen av skolan?,"Vi har Inte råd att vänta på de stora avhandlingarna utan behöver en iterativ process, att vi delar med oss till varandra under vägens gång. En modererande funktion som sammanställer det som redan finns idag.",Grupp S:t Hans,Gotlands kommun,,2018-07-02 10:37,,grupp-st-hans-1,2/6,33/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Hur kan forskningen bäst stödja digitaliseringen av skolan?,"föreslår att skapa gemensamma FOU program, där man suddar bort gränserna.",Grupp S:t Nicolai,Gotlands kommun,,2018-07-02 10:41,,grupp-st-nicolai-1,4/6,33/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Hur kan forskningen bäst stödja digitaliseringen av skolan?,föreslår att det i handlingsplanen skapar en struktur för praktiknära forskning.,Grupp S:t Nicolai,Gotlands kommun,,2018-07-02 10:42,,grupp-st-nicolai-2,1/6,33/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Hur kan forskningen bäst stödja digitaliseringen av skolan?,föreslår att Lärarhögskolan förändrar kultur för innovation.,Grupp S:t Nicolai,Gotlands kommun,,2018-07-02 10:44,,grupp-st-nicolai-3,6/6,33/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Hur kan forskningen bäst stödja digitaliseringen av skolan?,"föreslår att man funderar på all data som produceras i lärandesituationer, hur kan det användas för forskning. (Vem äger informationen)",Grupp S:t Nicolai,Gotlands kommun,,2018-07-02 10:46,,grupp-st-nicolai-4,5/6,33/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Hur kan forskningen bäst stödja digitaliseringen av skolan?,"föreslår att alla intresserade av utökad praktiknära forskning anmäler intressanta  forskningsupplägg till ulfavtal.se innan sep. Det är en försöksverksamhet som når alla högskolor med lärarutbildning. Samarbete mellan olika parter står i fokus, och syftet är bla att frågor som är angelägna för undervisningspraktiken ska få störrechans att beforskas.",Ingela Bursjöö,Göteborgs kommun,,2018-07-05 09:51,,ingela-bursjoo-4,3/6,33/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,insats för att skapa grundläggande förståelse för digitala verktyg och digitala ekosystem,Andreas Hedlund,Skellefteå kommun,,2018-07-02 09:17,,andreas-hedlund-1,,
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,föreslår att alla skolledare får kompetensutveckling i att leda digitaliseing,Andreas Hedlund,Skellefteå kommun,,2018-07-02 09:18,,andreas-hedlund-2,1/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,föreslår nationell satsning på digital didaktisk design,Andreas Hedlund,Skellefteå kommun,,2018-07-02 09:21,,andreas-hedlund-3,8/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,föreslår skapa samtalsmodell och workshopmodell för MIK-området,Andreas Hedlund,Skellefteå kommun,,2018-07-02 09:22,,andreas-hedlund-4,13/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,föreslår insats för att skapa grundläggande förståelse för digitala verktyg och digitala ekosystem hos elever/barn och medarbetare,Andreas Hedlund,Skellefteå kommun,,2018-07-02 09:24,,andreas-hedlund-5,6/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,föreslår ett konkret förslag på att alla elever och lärare ska garanteras kvalitativa digitala läromedel.,Grupp Helge And,Gotlands kommun,,2018-07-02 10:45,,grupp-helge-and-1,9/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,"Jag skulle säga att en av flera stora drivkrafter är pedagogers kompetens att på ett självklart sätt designa lärsituationer där digitalisering stärker, utvecklar, individanpassar och underlättar lärandet. För att nå dit behövs kompetensutveckling av aktiva pedagoger, men parallellt också stora insatser för att utveckla alla lärarutbildningar och säkerställa att de examinerar pedagoger som kan arbeta utifrån gällande styrdokument. Först när ett designtänk som tillvaratar digitaliseringens möjligheter genomsyrar alla moment av en lärarutbildning tror jag att vi kan nå ett långsiktigt genomslag gällande digital kompetens hos pedagoger och därmed en möjlighet att nå alla de i strategin uppsatta målen.",Anna Carlsson,Borgholms kommun,,2018-07-02 10:46,,anna-carlsson-1,,
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,"föreslår att det för alla måste vara tydligt vad vinsten med att använda digitala verktyg i undervisningen är. Elever, lärare, rektorer och huvudmän behöver alla förstå värdet.",Grupp Helge And,Gotlands kommun,,2018-07-02 10:47,,grupp-helge-and-2,2/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,Föreslår att det måste vara lika enkelt och roligt att använda tekniken i skolan som det är att använda tekniken hemma. Vi måste minska glappet mellan hur det är och hur det skulle kunna vara.,Grupp S:t Hans,Gotlands kommun,,2018-07-02 10:51,,grupp-st-hans-2,11/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,"föreslår att vi måste hitta samma motiverade faktorer, på individnivå, att lära sig engelska, svenska osv som sker på fritiden, såsom via Mindcraft och andra spel där motivationen att lära är på topp.",Grupp S:t Hans,Gotlands kommun,,2018-07-02 10:53,,grupp-st-hans-3,12/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,"Att ha beställarkompetens på nationell nivå för lokala aktörer att tillgå vid behov.
Även i syfte att undvika ett beroende av jättarna såsom Google.",Grupp S:t Hans,Gotlands kommun,,2018-07-02 11:02,,grupp-st-hans-4,7/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,"föreslår att för att uppnå likvärdighet kommer det krävas att resurser tillsätts från nationell nivå, iaf nästkommande 3-4 år, då mindre aktörer inte kommer ha möjlighet att tillsätta detta i tillräcklig utsträckning. Medel som är tillräckliga för att även bidra till drivkraften.",Grupp S:t Hans,Gotlands kommun,,2018-07-02 11:05,,grupp-st-hans-5,4/13,37/147
Rådslag om Skolans Digitalisering under Almedalsveckan 2018,Vilka är de viktigaste drivkrafterna för en bra och likvärdig utveckling av digital kompetens i skolan?,"föreslår ""dela digitalt"" designad för skolväsendet. Det skulle bidra till delakultur och skapa utrymme att jobbtidsenligt",Andreas Hedlund,Skellefteå kommun,,2018-07-02 11:20,,andreas-hedlund-6,10/13,37/147
